--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.015  000.015: --- NVIM STARTING ---
000.121  000.106: event init
000.331  000.210: early init
029.700  029.369: locale set
029.793  000.092: init first window
031.857  002.065: inits 1
031.922  000.065: window checked
031.936  000.014: parsing arguments
033.744  000.805  000.805: require('vim._core.shared')
035.613  000.035  000.035: require('string.buffer')
035.792  000.845  000.809: require('vim.inspect')
036.341  000.486  000.486: require('vim._core.options')
036.371  002.600  001.270: require('vim._core.editor')
036.758  000.374  000.374: require('vim._core.system')
036.773  004.002  000.223: require('vim._init_packages')
036.798  000.860: init lua interpreter
037.003  000.205: expanding arguments
037.051  000.048: inits 2
037.749  000.698: init highlight
037.802  000.053: clear screen
039.199  000.070  000.070: require('vim.keymap')
040.710  000.359  000.359: sourcing nvim_exec2()
040.812  000.051  000.051: require('vim._core.log')
069.469  031.652  031.172: require('vim._core.defaults')
069.493  000.039: init default mappings & autocommands
073.310  000.176  000.176: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share\nvim\runtime\ftplugin.vim
074.160  000.121  000.121: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share\nvim\runtime\indent.vim
076.542  000.874  000.874: require('vim.fs')
077.389  000.827  000.827: require('vim.uri')
077.437  002.280  000.579: require('vim.loader')
082.673  004.537  004.537: require('vim.filetype')
085.412  000.479  000.479: require('vim.treesitter.language')
085.929  000.482  000.482: require('vim.func')
086.468  000.525  000.525: require('vim.treesitter._range')
086.949  000.458  000.458: require('vim.func._memoize')
087.038  002.627  000.683: require('vim.treesitter.query')
087.088  003.390  000.763: require('vim.treesitter.languagetree')
087.123  004.406  001.016: require('vim.treesitter')
088.546  010.977  002.034: require('vim_options')
088.987  000.425  000.425: require('krs.core.keymap_registry')
090.927  001.505  001.505: require('keymaps.editor')
091.928  000.611  000.611: require('keymaps.debug')
092.372  001.435  000.825: require('keymaps.search')
093.967  000.231  000.231: require('vim.F')
094.372  001.368  001.137: require('vim.diagnostic')
094.972  002.588  001.220: require('keymaps.lsp')
098.986  003.839  003.839: require('keymaps.krs')
099.007  010.007  000.639: require('keymaps')
