--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.013  000.013: --- NVIM STARTING ---
000.072  000.059: event init
000.229  000.156: early init
021.243  021.014: locale set
021.284  000.041: init first window
022.023  000.739: inits 1
022.041  000.019: window checked
022.048  000.006: parsing arguments
023.043  000.493  000.493: require('vim._core.shared')
023.805  000.005  000.005: require('string.buffer')
023.848  000.251  000.246: require('vim.inspect')
024.110  000.248  000.248: require('vim._core.options')
024.116  001.064  000.565: require('vim._core.editor')
024.276  000.157  000.157: require('vim._core.system')
024.281  001.838  000.125: require('vim._init_packages')
024.289  000.403: init lua interpreter
024.373  000.085: expanding arguments
024.401  000.027: inits 2
024.740  000.339: init highlight
024.754  000.015: clear screen
025.408  000.052  000.052: require('vim.keymap')
026.105  000.168  000.168: sourcing nvim_exec2()
026.155  000.023  000.023: require('vim._core.log')
046.910  022.151  021.909: require('vim._core.defaults')
046.921  000.015: init default mappings & autocommands
049.117  000.144  000.144: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share\nvim\runtime\ftplugin.vim
049.745  000.124  000.124: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share\nvim\runtime\indent.vim
051.378  000.440  000.440: require('vim.fs')
051.860  000.472  000.472: require('vim.uri')
051.882  001.235  000.323: require('vim.loader')
055.388  002.452  002.452: require('vim.filetype')
056.901  000.231  000.231: require('vim.treesitter.language')
057.147  000.234  000.234: require('vim.func')
057.437  000.283  000.283: require('vim.treesitter._range')
057.786  000.339  000.339: require('vim.func._memoize')
057.827  001.454  000.367: require('vim.treesitter.query')
057.845  001.802  000.349: require('vim.treesitter.languagetree')
057.855  002.448  000.646: require('vim.treesitter')
058.499  006.557  001.656: require('vim_options')
058.760  000.253  000.253: require('krs.core.keymap_registry')
060.152  001.162  001.162: require('keymaps.editor')
060.881  000.468  000.468: require('keymaps.debug')
061.074  000.914  000.446: require('keymaps.search')
062.296  000.144  000.144: require('vim.F')
062.511  001.006  000.862: require('vim.diagnostic')
062.837  001.757  000.751: require('keymaps.lsp')
064.509  001.662  001.662: require('keymaps.krs')
064.523  005.756  000.260: require('keymaps')
068.689  003.497  003.497: require('lazy')
068.743  000.027  000.027: require('ffi')
069.040  000.288  000.288: require('lazy.stats')
069.527  000.294  000.294: require('lazy.core.util')
069.854  000.317  000.317: require('lazy.core.config')
070.702  000.362  000.362: require('lazy.core.handler')
071.760  000.344  000.344: require('lazy.pkg')
071.771  000.709  000.365: require('lazy.core.meta')
071.780  001.067  000.358: require('lazy.core.plugin')
071.792  001.929  000.499: require('lazy.core.loader')
073.962  000.249  000.249: require('lazy.async')
074.551  000.243  000.243: require('lazy.manage.process')
074.800  000.241  000.241: require('lazy.terminal')
074.811  000.839  000.354: require('lazy.manage.task')
074.816  001.326  000.238: require('lazy.manage.runner')
074.821  001.637  000.310: require('lazy.manage')
074.826  001.995  000.358: require('lazy.view.commands')
075.125  000.267  000.267: require('lazy.core.fragments')
079.126  000.275  000.275: require('krs.core.lazy_require')
083.703  000.971  000.971: require('vim.lsp.protocol')
083.810  001.388  000.417: require('vim.lsp.log')
084.615  000.347  000.347: require('vim._core.util')
084.663  000.843  000.496: require('vim.lsp.util')
085.509  000.488  000.488: require('vim.lsp.sync')
085.565  000.896  000.408: require('vim.lsp._changetracking')
086.248  000.313  000.313: require('vim.lsp._transport')
086.303  000.048  000.048: require('vim._core.stringbuffer')
086.353  000.783  000.421: require('vim.lsp.rpc')
086.387  004.346  000.436: require('vim.lsp')
086.392  004.625  000.279: require('krs.lsp.editorconfig')
088.408  000.335  000.335: require('krs.core.lazyspec')
088.491  000.691  000.355: require('plugins.krs.type_injector')
088.973  000.247  000.247: require('krs.core.path')
088.984  000.471  000.224: require('krs.core.store')
089.322  000.327  000.327: require('vim.lsp.client')
095.974  000.429  000.429: require('vim.ui')
096.955  000.257  000.257: require('krs.launch.runtimes')
099.197  000.541  000.541: require('krs.core.ui')
102.732  000.395  000.395: require('krs.core.dock')
105.145  000.412  000.412: require('krs.core.z_index')
110.765  000.389  000.389: require('lazy.core.handler.event')
110.784  000.853  000.465: require('lazy.core.handler.ft')
111.230  000.433  000.433: require('lazy.core.handler.cmd')
111.692  000.434  000.434: require('lazy.core.handler.keys')
114.027  000.009  000.009: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
114.117  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
114.407  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
114.480  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
114.770  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
114.849  000.003  000.003: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
116.465  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
116.544  000.003  000.003: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
118.597  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
118.682  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
119.138  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
119.569  000.088  000.088: sourcing C:/Users/Kristan/AppData/Local/nvim-data/lazy/vim-blade/ftdetect/blade.vim
119.594  000.347  000.259: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
119.608  000.003  000.003: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
119.637  000.002  000.002: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
119.727  000.003  000.003: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
121.953  001.369  001.369: sourcing nvim_exec2() called at C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/filetype.lua:0
121.966  001.658  000.290: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/filetype.lua
121.989  002.152  000.494: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
122.355  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
122.407  000.003  000.003: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
125.154  000.253  000.253: require('notify.util.queue')
125.168  000.589  000.336: require('notify.util')
125.698  000.092  000.092: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
125.738  000.023  000.023: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
125.747  000.574  000.459: require('notify.config.highlights')
125.757  001.543  000.380: require('notify.config')
126.520  000.388  000.388: require('notify.stages')
126.856  000.325  000.325: require('notify.service.notification')
128.037  000.379  000.379: require('notify.animate.spring')
128.052  000.788  000.409: require('notify.animate')
128.064  001.174  000.386: require('notify.windows')
129.112  000.322  000.322: require('notify.service.buffer.highlights')
129.131  000.719  000.397: require('notify.service.buffer')
129.141  001.071  000.352: require('notify.service')
129.486  000.338  000.338: require('notify.stages.util')
129.681  003.917  000.621: require('notify.instance')
129.692  007.265  001.805: require('notify')
130.192  000.382  000.382: require('notify.stages.fade_in_slide_out')
130.253  000.022  000.022: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
130.276  000.010  000.010: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
130.546  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
130.588  000.003  000.003: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
160.369  000.479  000.479: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\colors\nagatoro-krs.lua:0
160.774  001.352  000.874: sourcing C:\Users\Kristan\AppData\Local\nvim\colors\nagatoro-krs.lua
160.899  000.023  000.023: sourcing nvim_exec2() called at ColorScheme Autocommands for "*":0
161.713  000.165  000.165: sourcing C:/Users/Kristan/AppData/Local/nvim-data/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
161.742  000.562  000.397: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
161.763  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
161.844  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
165.848  000.590  000.590: require('nvim-web-devicons.filetypes')
167.337  000.926  000.926: require('nvim-web-devicons.default.icons_by_filename')
168.538  001.165  001.165: require('nvim-web-devicons.default.icons_by_file_extension')
169.173  000.608  000.608: require('nvim-web-devicons.default.icons_by_operating_system')
169.564  000.377  000.377: require('nvim-web-devicons.default.icons_by_desktop_environment')
169.945  000.371  000.371: require('nvim-web-devicons.default.icons_by_window_manager')
169.956  004.047  000.600: require('nvim-web-devicons.icons-default')
170.381  008.512  003.874: require('nvim-web-devicons')
174.658  000.012  000.012: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
