--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.009  000.009: --- NVIM STARTING ---
000.082  000.074: event init
000.336  000.253: early init
028.229  027.894: locale set
028.297  000.068: init first window
029.518  001.221: inits 1
029.542  000.024: window checked
029.554  000.012: parsing arguments
030.936  000.703  000.703: require('vim._core.shared')
032.000  000.007  000.007: require('string.buffer')
032.060  000.357  000.349: require('vim.inspect')
032.434  000.353  000.353: require('vim._core.options')
032.446  001.495  000.785: require('vim._core.editor')
032.672  000.219  000.219: require('vim._core.system')
032.682  002.595  000.178: require('vim._init_packages')
032.696  000.548: init lua interpreter
032.828  000.132: expanding arguments
032.856  000.028: inits 2
033.319  000.463: init highlight
033.339  000.020: clear screen
034.261  000.060  000.060: require('vim.keymap')
035.230  000.237  000.237: sourcing nvim_exec2()
035.299  000.034  000.034: require('vim._core.log')
057.170  023.826  023.494: require('vim._core.defaults')
057.185  000.020: init default mappings & autocommands
060.229  000.188  000.188: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share\nvim\runtime\ftplugin.vim
061.257  000.156  000.156: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share\nvim\runtime\indent.vim
063.316  000.619  000.619: require('vim.fs')
064.073  000.742  000.742: require('vim.uri')
064.129  001.910  000.549: require('vim.loader')
065.839  000.558  000.558: require('config.font')
066.851  002.604  002.047: require('config.options')
069.134  000.080  000.080: require('vim.F')
069.270  001.677  001.597: require('vim.diagnostic')
070.083  000.047  000.047: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
070.653  003.787  002.063: require('config.keybinds')
074.282  003.025  003.025: require('lazy')
074.354  000.040  000.040: require('ffi')
074.753  000.388  000.388: require('lazy.stats')
075.557  000.544  000.544: require('lazy.core.util')
076.184  000.617  000.617: require('lazy.core.config')
077.028  000.390  000.390: require('lazy.core.handler')
078.062  000.362  000.362: require('lazy.pkg')
078.075  000.700  000.338: require('lazy.core.meta')
078.084  001.046  000.346: require('lazy.core.plugin')
078.094  001.900  000.464: require('lazy.core.loader')
080.836  000.660  000.660: require('lazy.async')
081.938  000.462  000.462: require('lazy.manage.process')
082.375  000.420  000.420: require('lazy.terminal')
082.393  001.514  000.632: require('lazy.manage.task')
082.401  002.800  000.626: require('lazy.manage.runner')
082.409  003.379  000.580: require('lazy.manage')
082.416  003.778  000.399: require('lazy.view.commands')
082.854  000.383  000.383: require('lazy.core.fragments')
097.229  000.494  000.494: require('lazy.core.handler.event')
097.253  000.984  000.490: require('lazy.core.handler.ft')
097.762  000.478  000.478: require('lazy.core.handler.cmd')
098.158  000.359  000.359: require('lazy.core.handler.keys')
099.255  000.012  000.012: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
099.338  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
102.959  002.116  002.116: sourcing nvim_exec2() called at C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/filetype.lua:0
102.975  002.489  000.373: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/filetype.lua
103.010  003.062  000.573: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
103.303  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
103.359  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
142.315  000.470  000.470: sourcing C:\Users\Kristan\AppData\Local\nvim-data\lazy\doki-theme-vim\autoload\rei.vim
160.571  020.277  019.807: sourcing C:\Users\Kristan\AppData\Local\nvim-data\lazy\doki-theme-vim\colors\rei.vim
164.284  000.148  000.148: sourcing C:/Users/Kristan/AppData/Local/nvim-data/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
164.327  000.663  000.516: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
164.357  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
164.457  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
168.566  000.579  000.579: require('nvim-web-devicons.filetypes')
169.848  000.780  000.780: require('nvim-web-devicons.default.icons_by_filename')
171.063  001.198  001.198: require('nvim-web-devicons.default.icons_by_file_extension')
171.632  000.554  000.554: require('nvim-web-devicons.default.icons_by_operating_system')
172.108  000.462  000.462: require('nvim-web-devicons.default.icons_by_desktop_environment')
